Case ID,Site ID,Site Name,Url,Submission Date,Case Status,Comments,Username (last person),Site Type,Site Status,Implementing Partner / Donor Agency,Region ID,Region Name,Submission date,Submission date (reformatted),Agency,Donor,Activity date,Activity date (reformatted),Primary Activity,Sub-Activity,boys,girls,men,women,elderly men,elderly women,total participants,PWds,males,females,Indirect beneficiaries,Achieved,IB boys,IB girls,IB men,IB women,IB elderly men,IB elderly women,total indirect beneficiaries,Protection referral pathway (y/n) (based on safety audit),Topic,Topic(s),Other topic,Topic (calculated),Items distributed,Other items,number of leaflets,number of posters,number of hygiene kits,number of dignity kits,number of fire extinguishers,number of first aid kits,number of sand or flour bags,number of toolkits,number of other items,total number of IEC items,Summary,Photo,Photo2,Photo3,Attachment
40161782811617846T,GZA4817,Al-Rahma Site,https://app.zitemanager.org/#/sites/48792/submission-case-detail/40161782811617846T,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600118,Gaza - Northern Remal,2026-06-30,30/06/26,ACTED,PRM,2026-06-15,15-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Al-Rahma Site currently hosts approximately 88 displaced households (465 individuals) living under extremely challenging humanitarian conditions characterized by severe deficiencies in WASH services, shelter, environmental health, safety, and protection. The assessment identified several critical site-specific hazards, including 12 families residing in makeshift tents on the central street median, exposing them to immediate traffic and protection risks, while an additional 12 families remain in a partially damaged building with significant structural safety concerns requiring urgent assessment and relocation. The site also faces deteriorated sanitation facilities, inadequate access to safe and reliable drinking water, severe overcrowding, poor shelter conditions, and widespread rodent and insect infestation that has contributed to increasing cases of skin diseases, particularly among children. Environmental conditions are further aggravated by the absence of drainage infrastructure, creating a high risk of flooding during winter, and by the presence of large quantities of destroyed and burnt civilian vehicles stacked adjacent to shelters, which severely restrict movement, create hazardous environments, and serve as breeding grounds for pests and other environmental health threats. Safety and protection risks are compounded by the absence of lighting, perimeter fencing, safe community spaces, and educational facilities, leaving women, children, older persons, and other vulnerable groups at heightened risk. To address these challenges, the proposed Site Improvement Plan adopts an integrated multi-sectoral approach focused on rehabilitating WASH facilities, stabilizing water supply, relocating households exposed to life-threatening conditions, improving shelter quality and site organization, removing hazardous vehicle debris through specialized engineering works, strengthening drainage and flood mitigation measures, enhancing lighting and perimeter protection, establishing safe child-friendly and community spaces, and improving environmental health and protection mechanisms to ensure safer, healthier, and more dignified living conditions in line with humanitarian and SPHERE standards.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-_Al-Rahma_Site-12_26_20.xlsx&return_type=file
40151782810564014A,KYS1715,Al-Quds,https://app.zitemanager.org/#/sites/31751/submission-case-detail/40151782810564014A,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,1,0,0,0,1,0,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40161782809419288E,GZA6018,Al-Jawad Site,https://app.zitemanager.org/#/sites/43044/submission-case-detail/40161782809419288E,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600118,Gaza - Northern Remal,2026-06-30,30/06/26,ACTED,PRM,2026-06-21,21-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"The site currently hosts approximately 194 displaced households (970 individuals) living in around 85 makeshift tents under challenging humanitarian conditions, where significant deficiencies in site infrastructure, WASH services, shelter conditions, environmental health, safety, and community facilities continue to affect the well-being of residents. The assessment identified critical gaps in access to safe and reliable drinking water, with an intermittent municipal water supply, inadequate communal water storage capacity, inefficient water distribution, and sanitation facilities requiring urgent rehabilitation to ensure safe, dignified, and continuous services. Shelter conditions are characterized by overcrowding, deteriorated and weather-vulnerable tents, and poor site organization, with 14 tents currently obstructing internal access roads, restricting emergency response, compromising safe circulation, and increasing protection risks. The site also suffers from congested pathways, inadequate drainage, environmental degradation, and accumulated solid waste, which contribute to public health concerns and reduce overall accessibility. Safety and protection risks are further exacerbated by insufficient lighting, limited visibility during nighttime, inadequate community infrastructure, and the absence of a dedicated site management facility to support coordination, community engagement, and complaint mechanisms. To address these challenges, the proposed Site Improvement Plan adopts an integrated multi-sectoral approach that combines site reorganization, WASH improvements, shelter rehabilitation, environmental cleaning, drainage enhancement, installation of floodlights, strengthening of emergency access routes, and the construction of a dedicated Site Committee Room to improve site management, protection, community participation, and overall living conditions in accordance with humanitarian principles and SPHERE standards.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-_Al-Jawad_Site-11_48_36.xlsx&return_type=file
40161782809657365U,GZA4353,Al-Majida School Wasila Bani Ammar,https://app.zitemanager.org/#/sites/39951/submission-case-detail/40161782809657365U,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600118,Gaza - Northern Remal,2026-06-30,30/06/26,ACTED,PRM,2026-06-03,03-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"The Al-Majida School (Wasila Bani Ammar) site currently hosts approximately 242 displaced households (1,134 individuals) living in 83 tents located both inside and outside the school compound under extremely challenging humanitarian conditions. The assessment identified a critical life-threatening risk resulting from the imminent structural collapse of the western section of the school building, placing displaced families at immediate risk and requiring urgent evacuation and relocation measures. In addition, the site faces significant multi-sectoral challenges, including a severe shortage of safe shelter, overcrowding, inadequate privacy, deteriorated weather protection, insufficient access to safe drinking water, non-functional sanitation facilities, poor drainage, and heightened public health risks associated with pests, environmental degradation, and accumulated debris. Safety and protection concerns are further exacerbated by inadequate lighting, the absence of secure fencing, blocked internal circulation routes, limited emergency access, and weak protection referral and community coordination mechanisms. To address these critical risks, the proposed Site Improvement Plan adopts an integrated emergency response that prioritizes the evacuation of households exposed to unsafe structures, provision of emergency shelter solutions, rehabilitation of WASH infrastructure, debris removal, drainage improvements, installation of fencing and lighting, enhancement of environmental health conditions, and the establishment of community protection and coordination mechanisms to ensure safer, more dignified, and resilient living conditions in line with humanitarian principles and SPHERE standards.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-_Al-Majida_School_Wasila_Bani_Ammar-11_54_4.xlsx&return_type=file
40151782809797485E,KYS0825,Al-Jawhari,https://app.zitemanager.org/#/sites/31498/submission-case-detail/40151782809797485E,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,2,0,0,0,2,0,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40151782809882832K,KYS0805,Al-Shaheed Jameel,https://app.zitemanager.org/#/sites/31493/submission-case-detail/40151782809882832K,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,2,1,0,0,3,0,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40151782809931739Q,KYS0947,Al-rimal Al-Thahabiea,https://app.zitemanager.org/#/sites/31532/submission-case-detail/40151782809931739Q,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,0,1,0,0,1,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40151782810000233L,KYS0835,Yafa Site,https://app.zitemanager.org/#/sites/31507/submission-case-detail/40151782810000233L,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,2,0,0,0,2,1,2,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40151782810287211U,KYS1926,Albwasil,https://app.zitemanager.org/#/sites/31920/submission-case-detail/40151782810287211U,2026-06-30,Closed,,malmaqadma,IOM,Active,ACTED,270 - 27002154,Khan Younis - Al Mawasi,2026-06-30,30/06/26,ACTED,PRM,2026-06-22,22-06-26,Community Participation and Representation,Capacity strengthening for community members,,,1,1,0,0,2,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,"A data management training workshop was conducted for the Data Management Committees in the IOM-supported sites in Khan Younis, facilitated by ACTED's Site Management Department. The workshop addressed several challenges encountered by data focal points in managing and maintaining site data. Particular emphasis was placed on the effective use of Microsoft Excel as the primary tool for data management and analysis. Participants were also introduced to ACTED's data management methodology, including the standard master database and the correct procedures for data entry. In addition, the training covered practical techniques for data cleaning, validation, sorting, and filtering to improve data quality, accuracy, and consistency, enabling participants to produce reliable datasets for informed decision-making and humanitarian programming.",,,,
40161782812100459V,GZA6027,Al-Salam Site,https://app.zitemanager.org/#/sites/43624/submission-case-detail/40161782812100459V,2026-06-30,Closed,,tamara,IOM,Active,ACTED,260 - 2600118,Gaza - Northern Remal,2026-06-30,30/06/26,ACTED,PRM,2026-06-30,30-06-26,Site Environment Improvements,Site Improvement Plans,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,"Al-Salam Site, identifies severe humanitarian needs affecting approximately 95 families (around 538 individuals), driven by the deterioration of shelter conditions, inadequate WASH services, and significant environmental and protection risks. The site lacks a reliable water supply and sufficient storage, while sanitation facilities are in critical condition and require urgent rehabilitation; limited space necessitates communal latrines. Unsafe wastewater disposal, poor waste management, and pest infestation are further contributing to environmental contamination and public health risks. Shelter conditions are highly fragile, with overcrowding, insufficient maintenance materials, and high vulnerability to seasonal flooding, particularly in low-lying areas and a central water-accumulation pit due to poor drainage.

In response, the intervention adopts an integrated approach focusing on WASH rehabilitation (sanitation repairs, communal latrines, water storage, pest control, and waste management), shelter reinforcement and winterization, and environmental works including drainage improvement and rehabilitation of flood-prone areas. Additional protection and safety measures include lighting, basic fencing, fire safety provisions, and improved community space. The project will be implemented over 15 days starting 01/07/2026 through direct implementation, local contractors, municipal coordination, and Cash-for-Work, aiming to urgently reduce health, environmental, and protection risks and improve minimum living conditions.",,,,https://app.zitemanager.org/api/v2/generate-presigned-url/?object_key=Site_Improvement_Plan_-_Al-Salam_Site-12_34_34.xlsx&return_type=file
